t_5s,fr_cool,T_in,duty,T_chamber,T_cool,gap,T_out
0,14.369,182.271,187.778,1065.7164,145.114,13.8,128.358
1,14.369,182.109,187.778,1065.7164,145.1555,13.82,128.358
2,14.369,182.369,187.778,1065.7164,145.244,13.87,131.478
3,14.369,182.369,187.778,1065.7164,145.17175,13.89,131.916
4,14.369,181.925,187.778,1065.7164,145.188,13.93,131.916
5,14.369,181.741,187.778,1065.7164,145.19975,13.94,131.916
6,14.373,182.098,187.778,1065.7164,145.1865,13.99,131.916
7,14.369,182.553,187.778,1065.7164,145.20125,14.03,131.916
8,14.371,182.185,187.778,1065.7164,145.244,14.1,131.916
9,14.371,182.141,187.778,1065.7164,145.23225,14.16,131.916
10,14.369,181.925,187.778,1065.7164,145.22775,14.21,131.946
11,14.371,182.217,187.778,1065.7164,145.21025,14.26,131.946
12,14.371,181.806,187.778,1065.7164,145.26025,14.32,135.402
13,13.91,181.135,187.778,1065.7164,145.2695,14.38,135.558
14,13.735,180.583,187.778,1065.7164,145.19825,14.47,135.582
15,13.681,180.345,187.778,1065.7164,145.17025,14.53,135.582
16,13.056,180.496,187.778,1065.7164,145.1555,14.59,135.582
17,12.206,179.771,187.778,1065.7164,145.2575,14.65,135.582
18,12.063,179.305,187.778,1065.7164,145.197,14.71,135.582
19,12.246,179.143,187.778,1065.7164,145.17175,14.79,135.606
20,12.179,179.619,187.778,1065.7164,145.19975,14.84,135.582
21,12.26,179.89,187.778,1065.7164,145.19975,14.92,135.606
22,12.311,179.847,187.778,1065.7164,145.19825,14.99,136.776
23,12.263,179.674,187.778,1065.7164,145.13925,15.03,136.752
24,12.258,178.937,187.778,1065.7164,145.2425,15.15,137.142
25,12.26,178.526,187.778,1065.7164,145.1525,15.22,136.776
26,12.258,178.58,187.778,1065.7164,145.17025,15.3,136.8
27,12.26,178.407,187.778,1065.7164,145.21175,15.38,137.892
28,12.263,178.569,187.778,1065.7164,145.1835,15.48,136.8
29,12.26,177.433,187.778,1065.7164,145.244,15.54,136.752
30,12.26,177.53,187.778,1065.7164,145.185,15.57,137.532
31,12.263,177.476,187.778,1065.7164,145.244,15.66,136.956
32,12.26,177.303,187.778,1065.7164,145.21025,15.65,137.922
33,12.256,177.476,187.778,1065.7164,145.28425,15.75,138
34,12.26,177.087,187.778,1065.7164,145.19675,15.79,137.97
35,12.26,177.411,187.778,1065.7164,145.2145,15.9,138
36,12.263,177.487,187.778,1065.7164,145.19675,15.95,138
37,12.26,178.028,187.778,1065.7164,145.15125,15.96,138
38,12.263,177.758,187.778,1065.7164,145.1795,16.03,138
39,12.26,177.833,187.778,1065.7164,145.21025,16.06,138
40,12.26,177.455,187.778,1065.7164,145.18075,16.09,137.97
41,12.258,177.476,187.778,1065.7164,145.2665,16.15,138
42,12.258,176.892,187.778,1065.7164,145.2075,16.18,137.844
43,12.26,176.08,187.778,1065.7164,145.28425,16.2,136.776
44,12.26,175.777,187.778,1065.7164,145.299,16.23,136.776
45,12.258,175.885,187.778,1065.7164,145.22225,16.28,136.752
46,12.26,175.43,187.778,1065.7164,145.2385,16.3,136.776
47,12.26,174.662,187.778,1065.7164,145.22225,16.32,136.776
48,12.26,174.521,187.778,1065.7164,145.22375,16.34,136.776
49,12.263,174.521,187.778,1065.7164,145.3285,16.35,136.776
50,12.26,173.46,187.778,1065.7164,145.31375,16.35,136.776
51,12.26,173.265,187.778,1065.7164,145.25325,16.38,136.776
52,12.26,172.638,187.778,1065.7164,145.268,16.39,134.88
53,12.263,171.046,187.778,1065.7164,145.327,16.4,134.412
54,12.258,171.068,187.778,1065.7164,145.25175,16.42,134.388
55,12.26,170.982,187.778,1065.7164,145.25475,16.42,134.388
56,12.26,170.332,187.778,1065.7164,145.1645,16.4,134.388
57,12.263,169.834,187.778,1065.7164,145.23975,16.43,134.388
58,12.258,169.867,187.778,1065.7164,145.31225,16.43,134.388
59,12.258,170.516,187.778,1065.7164,145.30925,16.43,134.358
60,12.26,171.945,187.778,1065.7164,145.237,16.44,134.388
61,12.26,172.8,187.778,1065.7164,145.2075,16.45,134.388
62,12.258,173.114,187.778,1065.7164,145.28275,16.44,134.388
63,12.26,173.417,187.778,1065.7164,145.31225,16.46,133.194
64,12.258,174.175,187.778,1065.7164,145.355,16.46,133.194
65,12.26,174.911,187.778,1065.7164,145.268,16.43,133.194
66,12.26,175.95,187.778,1065.7164,145.27975,16.44,133.194
67,12.26,176.491,187.778,1065.7164,145.237,16.45,133.194
68,12.26,176.123,187.778,1065.7164,145.32975,16.44,133.194
69,12.263,176.448,187.778,1065.7164,145.28425,16.44,133.164
70,12.26,177.606,187.778,1065.7164,145.2385,16.43,133.194
71,12.26,178.797,187.778,1065.7164,145.268,16.39,133.194
